experiment,update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,model,lr,val_loss,discount
7.MiniGrid-RedBlueDoors-6x6-v0_mamba_lr0.0001_ent0.01_vl0.5_disc0.99,93.5,191488.0,872.2664917823815,301.4,0.08069531330838796,0.1992593141011162,0.0,0.6747500002384186,375.84375,246.36595923342344,34.7,720.0,0.01,0.014048704394372119,-0.00010446311325725013,0.0006935967071057968,0.01039861939437026,0.08069531330838796,0.1992593141011162,0.0,0.6747500002384186,mamba,0.0001,0.5,0.99
70.MiniGrid-RedBlueDoors-6x6-v0_lstm_lr0.01_ent0.01_vl1.0_disc0.99,93.5,191488.0,982.7646611490375,282.3,0.06489843875169751,0.1572896890417888,0.0,0.5195000052452088,469.375,254.55646922087516,45.1,720.0,0.01,0.010519860165368258,-0.0006275933827964901,0.0006978740303991456,0.004330305974133361,0.06489843875169751,0.1572896890417888,0.0,0.5195000052452088,lstm,0.01,1.0,0.99
71.MiniGrid-RedBlueDoors-6x6-v0_lstm_lr0.01_ent0.01_vl1.0_disc0.95,93.5,191488.0,915.1513221581896,307.4,0.06735156220383935,0.17173399399264444,0.0,0.6187499955296516,408.8875,263.0957642554497,17.7,720.0,0.01,0.00276306046213785,-0.0005070223774964698,0.0006429875972223017,0.00453406635292433,0.06735156220383935,0.17173399399264444,0.0,0.6187499955296516,lstm,0.01,1.0,0.95
72.MiniGrid-RedBlueDoors-6x6-v0_lstm_lr0.01_ent0.01_vl1.0_disc0.9,93.5,191488.0,837.5121938355851,309.0,0.06827343739569185,0.17829169416639779,0.0,0.6111249983310699,415.5125,259.1863329533374,22.7,720.0,0.01,0.0014786329078560604,-0.0006166212400671691,0.0004021205355491434,0.003343522757602266,0.06827343739569185,0.17829169416639779,0.0,0.6111249983310699,lstm,0.01,1.0,0.9
73.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.0_vl0.5_disc0.99,93.5,191488.0,843.4025999321769,374.0,0.024289062246680253,0.0940711335763879,0.0,0.38862499594688416,399.46875,275.693457718648,13.9,720.0,0.0,0.0028031175178056997,-0.001791378994765207,0.0006459883599433112,0.03054476036373256,0.024289062246680253,0.0940711335763879,0.0,0.38862499594688416,transformer,0.0001,0.5,0.99
74.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.0_vl0.5_disc0.95,93.5,191488.0,869.9919177218933,304.0,0.17541319617173734,0.2725728444144241,0.0,0.8320000052452088,315.65138888888885,253.6553496863052,26.6,720.0,0.0,0.008978308114046681,-0.0020874054210252993,0.0015124796020529188,0.06298963618864362,0.17541319617173734,0.2725728444144241,0.0,0.8320000052452088,transformer,0.0001,0.5,0.95
75.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.0_vl0.5_disc0.9,93.5,191488.0,896.5715645851691,307.6,0.1053828126750886,0.22115218027683164,0.0,0.7060000002384186,394.7125,281.43423827862955,12.5,720.0,0.0,0.0030369219026965266,0.001283700302201402,0.0006041007872653045,0.03808087211909537,0.1053828126750886,0.22115218027683164,0.0,0.7060000002384186,transformer,0.0001,0.5,0.9
76.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.0_vl1.0_disc0.99,93.5,191488.0,880.5469403420154,320.3,0.09675000021234151,0.21260450089343436,0.0,0.6896250009536743,384.34375,276.89376581355737,14.3,720.0,0.0,0.02206302673002933,0.0004646669718112799,0.0009043296104322994,0.09919081293375567,0.09675000021234151,0.21260450089343436,0.0,0.6896250009536743,transformer,0.0001,1.0,0.99
77.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.0_vl1.0_disc0.95,93.5,191488.0,862.2393948238443,299.7,0.10695312563329933,0.2128354250065602,0.0,0.700000011920929,368.49375,231.93827280141636,26.3,720.0,0.0,0.0076478034678075,0.001817122122201885,0.0009035817133820727,0.10911060221027227,0.10695312563329933,0.2128354250065602,0.0,0.700000011920929,transformer,0.0001,1.0,0.95
78.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.0_vl1.0_disc0.9,93.5,191488.0,886.9933386200449,311.1,0.12070312574505801,0.2355528704717412,0.0,0.7468750059604645,352.89375,263.40220896405407,15.2,720.0,0.0,0.006227837820802009,0.00316870209326225,0.0010496618853465848,0.09267456140393111,0.12070312574505801,0.2355528704717412,0.0,0.7468750059604645,transformer,0.0001,1.0,0.9
79.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.01_vl0.5_disc0.99,93.5,191488.0,899.4005164282555,299.4,0.1113046871498227,0.24267250816179323,0.0,0.8348749995231628,315.15,258.8257276261062,6.9,720.0,0.01,0.015189003276100238,-0.00370099438557644,0.0017355046916065584,0.05658065371706108,0.1113046871498227,0.24267250816179323,0.0,0.8348749995231628,transformer,0.0001,0.5,0.99
